"justiceName","term","id","justice","Robust_mean","Robust_975","Robust_025","Dynamic_mean","Dynamic_975","Dynamic_025","MQ_mean","MQ_sd","MQ_median","MQ_025","MQ_975"
"AFortas",1965,"AFortas-1965",97,-1.55691719375567,-1.05896205914084,-2.03335815818502,-1.56593584619588,-1.09706102948373,-2.05107569273925,-1.403,0.274,-1.398,-1.967,-0.898
"AFortas",1966,"AFortas-1966",97,-1.99450741324959,-1.44214795544308,-2.68504947851741,-1.99716721104811,-1.44637959998666,-2.56083292690742,-1.566,0.234,-1.558,-2.033,-1.122
"AFortas",1967,"AFortas-1967",97,-2.07862566341143,-1.48971884200319,-2.81929474359193,-2.08844154672268,-1.45260868418857,-2.72064977139095,-1.479,0.24,-1.471,-1.975,-1.037
"AFortas",1968,"AFortas-1968",97,-2.00538533899725,-1.27596952853579,-2.85930956248642,-2.00492806825214,-1.22280428575793,-2.82038932837376,-1.292,0.316,-1.279,-1.954,-0.712
"AJGoldberg",1962,"AJGoldberg-1962",96,-1.56603097142521,-0.982900611282707,-2.17365371678752,-1.53672860332845,-0.969433366105362,-2.16535946872397,-1.094,0.227,-1.085,-1.56,-0.673
"AJGoldberg",1963,"AJGoldberg-1963",96,-1.70398001747579,-1.16121614427127,-2.35658928483747,-1.71315193184656,-1.16426418468838,-2.32935956854185,-1.208,0.213,-1.202,-1.642,-0.813
"AJGoldberg",1964,"AJGoldberg-1964",96,-1.48142699657535,-0.710443271210427,-2.21984168603764,-1.47892652490875,-0.808543073352119,-2.23607632303157,-0.859,0.257,-0.851,-1.385,-0.383
"AMKennedy",1987,"AMKennedy-1987",106,1.71428983376923,2.43076263403402,0.964982201684732,1.72638513956602,2.45877502797885,1.08284347926405,1.19,0.283,1.182,0.658,1.767
"AMKennedy",1988,"AMKennedy-1988",106,1.96145058467609,2.58032370957583,1.41115702903389,1.99208669584028,2.58660550718951,1.44155054220002,1.464,0.228,1.457,1.043,1.922
"AMKennedy",1989,"AMKennedy-1989",106,1.90186787510839,2.49752477516164,1.39279323079072,1.91989985485576,2.48101792648391,1.38382100516027,1.359,0.216,1.354,0.959,1.8
"AMKennedy",1990,"AMKennedy-1990",106,1.76082147953421,2.37561592155719,1.23082877662628,1.76632609387221,2.30739488801378,1.26126034911974,1.22,0.216,1.212,0.815,1.655
"AMKennedy",1991,"AMKennedy-1991",106,1.45974020329178,2.01882461641654,0.923864323332708,1.47152560735123,2.0217058507931,0.97080482761579,0.887,0.207,0.884,0.498,1.302
"AMKennedy",1992,"AMKennedy-1992",106,1.48126694150016,1.99057395929615,0.973265053760758,1.51769015123653,2.06852658971548,1.00141373355266,1.045,0.216,1.045,0.63,1.481
"AMKennedy",1993,"AMKennedy-1993",106,1.31487094273581,1.84149830610535,0.813141127504278,1.32439247067858,1.85235958737678,0.78680344866553,0.88,0.22,0.877,0.462,1.325
"AMKennedy",1994,"AMKennedy-1994",106,1.23882469748898,1.7366922395566,0.776105466771706,1.22647004542674,1.76065106883494,0.722781535151296,0.844,0.211,0.841,0.44,1.266
"AMKennedy",1995,"AMKennedy-1995",106,1.14811061888319,1.63594148592838,0.661880227543333,1.09342679067174,1.62877846720884,0.580085160609891,0.713,0.216,0.711,0.291,1.138
"AMKennedy",1996,"AMKennedy-1996",106,1.20992206892946,1.70587900684889,0.729137852773927,1.18877919454093,1.71466202616775,0.671096522133933,0.849,0.214,0.844,0.434,1.289
"AMKennedy",1997,"AMKennedy-1997",106,1.20224095515831,1.70711325105253,0.696232125813998,1.17048902007979,1.74403490684938,0.626081920093086,0.815,0.222,0.813,0.384,1.258
"AMKennedy",1998,"AMKennedy-1998",106,1.27526737240229,1.75425058707482,0.786924617280793,1.27937879515673,1.85350057544991,0.743044607807783,0.921,0.226,0.914,0.498,1.382
"AMKennedy",1999,"AMKennedy-1999",106,1.36146527302054,1.85105357770493,0.874819065532245,1.39709792227378,1.95875994270519,0.879934027396628,1.065,0.228,1.059,0.641,1.528
"AMKennedy",2000,"AMKennedy-2000",106,1.2864849011557,1.81365844750445,0.819902009877959,1.29152494847048,1.84140346711604,0.778675008101693,0.952,0.223,0.947,0.535,1.397
"AMKennedy",2001,"AMKennedy-2001",106,1.29278621253631,1.83695889674548,0.828943901866122,1.31146436136325,1.85546139632043,0.801624830517733,1.04,0.231,1.034,0.602,1.507
