"prob.shock","innov","type","data.id","gel","gew","intra.ranks","ranks","crossclass","crossclass.shocked","rmse","T..24","T..23","T..22","T..21","T..20","T..19","T..18","T..17","T..16","T..15","T..14","T..13","T..12","T..11","T..10","T..9","T..8","T..7","T..6","T..5","T..4","T..3","T..2","T..1","T.0","T.1","T.2","T.3","T.4","T.5","T.6","T.7","T.8","T.9","T.10","T.11","T.12","T.13","T.14","T.15","T.16","T.17","T.18","T.19","T.20","T.21","T.22","T.23","T.24"
0,0.01,"dynamic",14,0,0.2866,0.0938775510204082,0.937959183673469,0.856516249925601,NA,0.0185831968830491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.1,"static",56,0,0.059,0.273469387755102,0.666938775510204,0.92249236166036,NA,0.750480674420615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.05,"mixed",35,0,0.08,0.304489795918367,0.80734693877551,0.934554658126524,NA,0.200876611276198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.05,"mixed",260,0,0.0648,0.2,0.735510204081633,0.943281688191926,NA,0.214174733130556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.1,"mixed",299,0,0.0602,0.320816326530612,0.746938775510204,0.999626865671642,NA,0.227496182764214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.1,"dynamic",283,0,0.1462,0.477551020408163,0.808979591836735,0.950343595340626,NA,0.14719844680964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.01,"robust",385,0,0.036,0.586938775510204,0.782857142857143,0.919880186312817,0.905660377358491,0.4664244815554,0.8,0.8,0.8,0.857142857142857,0.857142857142857,0.8,0.7,0.833333333333333,0.846153846153846,0.894736842105263,0.85,0.772727272727273,0.782608695652174,0.814814814814815,0.885714285714286,0.923076923076923,0.877551020408163,0.847457627118644,0.847222222222222,0.916666666666667,0.96039603960396,0.966386554621849,0.972972972972973,0.934131736526946,0.928571428571429,0.938650306748466,0.938356164383562,0.908333333333333,0.897959183673469,0.884615384615385,0.861538461538462,0.833333333333333,0.822222222222222,0.823529411764706,0.866666666666667,0.80952380952381,0.789473684210526,0.625,0.75,0.733333333333333,0.818181818181818,0.818181818181818,0.875,1,1,1,1,0.8,1
0.01,0.05,"robust",342,0,0.0066,0.428571428571429,0.888979591836735,0.947620870613609,0.935779816513762,0.133654749370827,0.923076923076923,0.923076923076923,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,0.909090909090909,0.909090909090909,0.833333333333333,0.952380952380952,0.95,1,1,0.944444444444444,1,1,1,1,1,0.941176470588235,0.9375,1,0.928571428571429,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,1,0.9,0.888888888888889,0.777777777777778
0,0.1,"mixed",280,0,0.0606,0.366530612244898,0.79265306122449,0.911203372649864,NA,0.211826850913117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.01,"static",395,0,0.059,0.428571428571429,0.539591836734694,0.858164027200862,0.827586206896552,0.837483410818455,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,0.91304347826087,0.931034482758621,0.96875,0.888888888888889,0.96551724137931,0.974358974358974,0.965909090909091,0.97196261682243,0.977941176470588,0.951515151515152,0.967032967032967,0.946502057613169,0.961111111111111,0.981012658227848,0.960629921259842,0.928571428571429,0.925,0.925373134328358,0.924528301886792,0.976744186046512,0.96875,0.931034482758621,0.851851851851852,1,0.944444444444444,1,0.923076923076923,1,1,1,0.857142857142857,1,1,1,1,1
0.01,0.05,"static",328,0,0.07,0.168979591836735,0.621224489795918,0.91083477816532,0.923076923076923,0.823218081121945,1,0.833333333333333,0.916666666666667,0.916666666666667,1,0.846153846153846,1,1,0.846153846153846,1,1,0.941176470588235,0.888888888888889,0.833333333333333,0.9,0.904761904761905,0.954545454545455,0.956521739130435,0.88,0.884615384615385,0.961538461538462,0.892857142857143,0.933333333333333,0.8125,0.875,0.96875,0.9,0.892857142857143,0.961538461538462,0.923076923076923,0.884615384615385,0.92,0.875,1,0.952380952380952,0.857142857142857,0.777777777777778,0.941176470588235,1,0.928571428571429,0.928571428571429,1,0.857142857142857,1,1,0.9,0.9,1,0.888888888888889
0.1,0.01,"dynamic",380,0,0.0822,0.565714285714286,0.753469387755102,0.998013142323804,0.998850574712644,0.511613725055352,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.8,0.6,0.833333333333333,0.666666666666667,0.857142857142857,0.875,0.909090909090909,0.933333333333333,0.842105263157895,0.84,0.870967741935484,0.911764705882353,0.86046511627907,0.846153846153846,0.875,0.888888888888889,0.9,0.910569105691057,0.933774834437086,0.865497076023392,0.869198312236287,0.94578313253012,0.903448275862069,0.872881355932203,0.835051546391753,0.829268292682927,0.82089552238806,0.857142857142857,0.8,0.815789473684211,0.787878787878788,0.785714285714286,0.739130434782609,0.8,0.8,0.769230769230769,0.75,0.818181818181818,0.777777777777778,0.714285714285714,0.666666666666667,0.8,0.8,0.333333333333333,0.333333333333333
